seconds,bytes_per_second,timestamp
0.0,500,2026-01-20 09:08:10
1.0,15,2026-01-20 09:08:11
2.0,14,2026-01-20 09:08:12
3.0,14,2026-01-20 09:08:13
4.0,22,2026-01-20 09:08:14
5.0,18,2026-01-20 09:08:15
6.0,26,2026-01-20 09:08:16
7.0,14,2026-01-20 09:08:17
8.0,15,2026-01-20 09:08:18
9.0,8,2026-01-20 09:08:19
10.0,500,2026-01-20 09:08:20
11.0,5,2026-01-20 09:08:21
12.0,12,2026-01-20 09:08:22
13.0,29,2026-01-20 09:08:23
14.0,1,2026-01-20 09:08:24
15.0,17,2026-01-20 09:08:25
16.0,10,2026-01-20 09:08:26
17.0,6,2026-01-20 09:08:27
18.0,4,2026-01-20 09:08:28
19.0,17,2026-01-20 09:08:29
20.0,500,2026-01-20 09:08:30
21.0,14,2026-01-20 09:08:31
22.0,27,2026-01-20 09:08:32
23.0,23,2026-01-20 09:08:33
24.0,11,2026-01-20 09:08:34
25.0,23,2026-01-20 09:08:35
26.0,15,2026-01-20 09:08:36
27.0,20,2026-01-20 09:08:37
28.0,14,2026-01-20 09:08:38
29.0,26,2026-01-20 09:08:39
30.0,500,2026-01-20 09:08:40
31.0,20,2026-01-20 09:08:41
32.0,21,2026-01-20 09:08:42
33.0,6,2026-01-20 09:08:43
34.0,7,2026-01-20 09:08:44
35.0,13,2026-01-20 09:08:45
36.0,1,2026-01-20 09:08:46
37.0,2,2026-01-20 09:08:47
38.0,17,2026-01-20 09:08:48
39.0,27,2026-01-20 09:08:49
40.0,500,2026-01-20 09:08:50
41.0,10,2026-01-20 09:08:51
42.0,6,2026-01-20 09:08:52
43.0,23,2026-01-20 09:08:53
44.0,24,2026-01-20 09:08:54
45.0,18,2026-01-20 09:08:55
46.0,14,2026-01-20 09:08:56
47.0,24,2026-01-20 09:08:57
48.0,20,2026-01-20 09:08:58
49.0,1,2026-01-20 09:08:59
50.0,500,2026-01-20 09:09:00
51.0,5,2026-01-20 09:09:01
52.0,16,2026-01-20 09:09:02
53.0,6,2026-01-20 09:09:03
54.0,2,2026-01-20 09:09:04
55.0,7,2026-01-20 09:09:05
56.0,5,2026-01-20 09:09:06
57.0,18,2026-01-20 09:09:07
58.0,22,2026-01-20 09:09:08
59.0,9,2026-01-20 09:09:09
60.0,500,2026-01-20 09:09:10
61.0,13,2026-01-20 09:09:11
62.0,5,2026-01-20 09:09:12
63.0,16,2026-01-20 09:09:13
64.0,13,2026-01-20 09:09:14
65.0,19,2026-01-20 09:09:15
66.0,23,2026-01-20 09:09:16
67.0,24,2026-01-20 09:09:17
68.0,4,2026-01-20 09:09:18
69.0,18,2026-01-20 09:09:19
70.0,500,2026-01-20 09:09:20
71.0,28,2026-01-20 09:09:21
72.0,12,2026-01-20 09:09:22
73.0,12,2026-01-20 09:09:23
74.0,26,2026-01-20 09:09:24
75.0,5,2026-01-20 09:09:25
76.0,24,2026-01-20 09:09:26
77.0,21,2026-01-20 09:09:27
78.0,21,2026-01-20 09:09:28
79.0,1,2026-01-20 09:09:29
80.0,500,2026-01-20 09:09:30
81.0,13,2026-01-20 09:09:31
82.0,18,2026-01-20 09:09:32
83.0,1,2026-01-20 09:09:33
84.0,15,2026-01-20 09:09:34
85.0,27,2026-01-20 09:09:35
86.0,22,2026-01-20 09:09:36
87.0,16,2026-01-20 09:09:37
88.0,24,2026-01-20 09:09:38
89.0,8,2026-01-20 09:09:39
90.0,500,2026-01-20 09:09:40
91.0,6,2026-01-20 09:09:41
92.0,16,2026-01-20 09:09:42
93.0,8,2026-01-20 09:09:43
94.0,15,2026-01-20 09:09:44
95.0,17,2026-01-20 09:09:45
96.0,10,2026-01-20 09:09:46
97.0,3,2026-01-20 09:09:47
98.0,21,2026-01-20 09:09:48
99.0,15,2026-01-20 09:09:49
100.0,500,2026-01-20 09:09:50
101.0,27,2026-01-20 09:09:51
102.0,8,2026-01-20 09:09:52
103.0,3,2026-01-20 09:09:53
104.0,19,2026-01-20 09:09:54
105.0,28,2026-01-20 09:09:55
106.0,28,2026-01-20 09:09:56
107.0,24,2026-01-20 09:09:57
108.0,19,2026-01-20 09:09:58
109.0,25,2026-01-20 09:09:59
110.0,500,2026-01-20 09:10:00
111.0,8,2026-01-20 09:10:01
112.0,16,2026-01-20 09:10:02
113.0,4,2026-01-20 09:10:03
114.0,8,2026-01-20 09:10:04
115.0,6,2026-01-20 09:10:05
116.0,11,2026-01-20 09:10:06
117.0,16,2026-01-20 09:10:07
118.0,29,2026-01-20 09:10:08
119.0,6,2026-01-20 09:10:09
