seconds,bytes_per_second,timestamp
0.0,500,2026-01-15 13:11:30
1.0,2,2026-01-15 13:11:31
2.0,23,2026-01-15 13:11:32
3.0,1,2026-01-15 13:11:33
4.0,5,2026-01-15 13:11:34
5.0,18,2026-01-15 13:11:35
6.0,6,2026-01-15 13:11:36
7.0,22,2026-01-15 13:11:37
8.0,1,2026-01-15 13:11:38
9.0,2,2026-01-15 13:11:39
10.0,500,2026-01-15 13:11:40
11.0,12,2026-01-15 13:11:41
12.0,3,2026-01-15 13:11:42
13.0,11,2026-01-15 13:11:43
14.0,8,2026-01-15 13:11:44
15.0,4,2026-01-15 13:11:45
16.0,21,2026-01-15 13:11:46
17.0,17,2026-01-15 13:11:47
18.0,28,2026-01-15 13:11:48
19.0,13,2026-01-15 13:11:49
20.0,500,2026-01-15 13:11:50
21.0,28,2026-01-15 13:11:51
22.0,29,2026-01-15 13:11:52
23.0,1,2026-01-15 13:11:53
24.0,20,2026-01-15 13:11:54
25.0,6,2026-01-15 13:11:55
26.0,5,2026-01-15 13:11:56
27.0,25,2026-01-15 13:11:57
28.0,10,2026-01-15 13:11:58
29.0,11,2026-01-15 13:11:59
30.0,500,2026-01-15 13:12:00
31.0,17,2026-01-15 13:12:01
32.0,7,2026-01-15 13:12:02
33.0,13,2026-01-15 13:12:03
34.0,3,2026-01-15 13:12:04
35.0,14,2026-01-15 13:12:05
36.0,26,2026-01-15 13:12:06
37.0,26,2026-01-15 13:12:07
38.0,15,2026-01-15 13:12:08
39.0,11,2026-01-15 13:12:09
40.0,500,2026-01-15 13:12:10
41.0,15,2026-01-15 13:12:11
42.0,6,2026-01-15 13:12:12
43.0,8,2026-01-15 13:12:13
44.0,28,2026-01-15 13:12:14
45.0,1,2026-01-15 13:12:15
46.0,5,2026-01-15 13:12:16
47.0,19,2026-01-15 13:12:17
48.0,16,2026-01-15 13:12:18
49.0,18,2026-01-15 13:12:19
50.0,500,2026-01-15 13:12:20
51.0,16,2026-01-15 13:12:21
52.0,1,2026-01-15 13:12:22
53.0,15,2026-01-15 13:12:23
54.0,18,2026-01-15 13:12:24
55.0,3,2026-01-15 13:12:25
56.0,28,2026-01-15 13:12:26
57.0,29,2026-01-15 13:12:27
58.0,6,2026-01-15 13:12:28
59.0,23,2026-01-15 13:12:29
60.0,500,2026-01-15 13:12:30
61.0,28,2026-01-15 13:12:31
62.0,9,2026-01-15 13:12:32
63.0,2,2026-01-15 13:12:33
64.0,1,2026-01-15 13:12:34
65.0,6,2026-01-15 13:12:35
66.0,25,2026-01-15 13:12:36
67.0,18,2026-01-15 13:12:37
68.0,17,2026-01-15 13:12:38
69.0,28,2026-01-15 13:12:39
70.0,500,2026-01-15 13:12:40
71.0,16,2026-01-15 13:12:41
72.0,21,2026-01-15 13:12:42
73.0,24,2026-01-15 13:12:43
74.0,12,2026-01-15 13:12:44
75.0,26,2026-01-15 13:12:45
76.0,1,2026-01-15 13:12:46
77.0,13,2026-01-15 13:12:47
78.0,5,2026-01-15 13:12:48
79.0,19,2026-01-15 13:12:49
80.0,500,2026-01-15 13:12:50
81.0,6,2026-01-15 13:12:51
82.0,15,2026-01-15 13:12:52
83.0,2,2026-01-15 13:12:53
84.0,7,2026-01-15 13:12:54
85.0,23,2026-01-15 13:12:55
86.0,17,2026-01-15 13:12:56
87.0,14,2026-01-15 13:12:57
88.0,25,2026-01-15 13:12:58
89.0,21,2026-01-15 13:12:59
90.0,500,2026-01-15 13:13:00
91.0,4,2026-01-15 13:13:01
92.0,27,2026-01-15 13:13:02
93.0,17,2026-01-15 13:13:03
94.0,11,2026-01-15 13:13:04
95.0,16,2026-01-15 13:13:05
96.0,5,2026-01-15 13:13:06
97.0,2,2026-01-15 13:13:07
98.0,23,2026-01-15 13:13:08
99.0,1,2026-01-15 13:13:09
100.0,500,2026-01-15 13:13:10
101.0,1,2026-01-15 13:13:11
102.0,4,2026-01-15 13:13:12
103.0,10,2026-01-15 13:13:13
104.0,5,2026-01-15 13:13:14
105.0,12,2026-01-15 13:13:15
106.0,11,2026-01-15 13:13:16
107.0,20,2026-01-15 13:13:17
108.0,20,2026-01-15 13:13:18
109.0,1,2026-01-15 13:13:19
110.0,500,2026-01-15 13:13:20
111.0,19,2026-01-15 13:13:21
112.0,12,2026-01-15 13:13:22
113.0,10,2026-01-15 13:13:23
114.0,11,2026-01-15 13:13:24
115.0,15,2026-01-15 13:13:25
116.0,6,2026-01-15 13:13:26
117.0,25,2026-01-15 13:13:27
118.0,13,2026-01-15 13:13:28
119.0,26,2026-01-15 13:13:29
